output,time,parameter,S1,ST
CNH,17,kAOH,-0.0024474464689766677,0.04378370543031564
CNH,17,kNH,-0.0008081901719979414,0.0009394587585610142
CNH,18,kcat1,0.220921307176789,0.4298392952014785
CNH,18,kcat2,-0.0063672163342648955,0.11360787751569824
CNH,18,Km1,0.029138048623656678,0.09727480940873652
CNH,18,Km2,0.009204424713215448,0.08563994364489828
CNH,18,Tmax,0.2862309951709831,0.4605083918061305
CNH,18,Ken,0.15756946891893767,0.2376271990376305
CNH,18,kAB,-0.0038257411908883426,0.043917706598143674
CNH,18,kAN,-0.005023315747985002,0.045237366016989466
CNH,18,kAOH,-0.0022138582354320024,0.04163658677411275
CNH,18,kNH,-0.0008118373170358987,0.0010245701201689159
CNH,19,kcat1,0.21945368803618237,0.42158471274321835
CNH,19,kcat2,-0.0059327703925690645,0.10757972697551736
CNH,19,Km1,0.029768879436913472,0.0958322986378572
CNH,19,Km2,0.010347397563204876,0.0846437575105791
CNH,19,Tmax,0.2869563536756035,0.4582960755632879
CNH,19,Ken,0.15731264780661297,0.23615832677742654
CNH,19,kAB,-0.003417327455052471,0.04190874823672955
CNH,19,kAN,-0.004803513541744378,0.04343826929491482
CNH,19,kAOH,-0.002013094737070672,0.03976676340913177
CNH,19,kNH,-0.0008122867937969997,0.0011116231290436668
CNH,20,kcat1,0.21792261961173878,0.413770321576411
CNH,20,kcat2,-0.0054723366808322,0.102482835234928
CNH,20,Km1,0.0303521669208513,0.09454776494690185
CNH,20,Km2,0.011489532684686775,0.08406460157109824
CNH,20,Tmax,0.28770140876194256,0.4564166808306333
CNH,20,Ken,0.1570862694382679,0.23478047627995013
CNH,20,kAB,-0.0030098419375840894,0.040203812599848406
CNH,20,kAN,-0.004590308895787962,0.04186156806170249
CNH,20,kAOH,-0.0018267032129472092,0.03813401283537427
CNH,20,kNH,-0.0008098536140944278,0.0012008737330899443
CNH,21,kcat1,0.21640216286578648,0.4062208970909922
CNH,21,kcat2,-0.004971902425595962,0.09823010576641979
CNH,21,Km1,0.030912191655338636,0.09342552209190409
CNH,21,Km2,0.012634503817817047,0.08386957770148679
CNH,21,Tmax,0.288555870846447,0.45496000558972977
CNH,21,Ken,0.1569332737389975,0.23355512817774518
CNH,21,kAB,-0.002595941778436995,0.03873226079297248
CNH,21,kAN,-0.004375532763274135,0.04048619951841151
CNH,21,kAOH,-0.0016293063320983565,0.036721871592586074
CNH,21,kNH,-0.0008051250448809963,0.0012929145874432423
