initial_condition,time,output,parameter,S1,ST
40_100,168,3,Tmax,0.07967574712552634,0.20202413442473063
40_100,168,3,Ken,0.011133209096622592,0.08967614012318526
40_100,168,3,kAB,0.02824827853289772,0.15805012115266628
40_100,168,3,kAN,0.02845165576465217,0.08911483005185647
40_100,168,3,kAOH,0.09397437018484632,0.33813960369561474
40_100,168,3,kNH,0.0120366916202212,0.07056513330929444
40_100,169,0,kcat1,0.571318942885812,0.8150433364549581
40_100,169,0,kcat2,0.008513439567894484,0.15129878197476582
40_100,169,0,Km1,0.09558991920991695,0.2943503672068162
40_100,169,0,Km2,0.005155034997966519,0.06619105862035679
40_100,169,0,Tmax,0.016980688784905086,0.17560791388061844
40_100,169,0,Ken,0.0065751159317640855,0.061591837175779485
40_100,169,0,kAB,0.025427521924261842,0.16896568936698095
40_100,169,0,kAN,0.033375307528171694,0.10168007088680804
40_100,169,0,kAOH,0.08463179740020542,0.24803947498373816
40_100,169,0,kNH,0.0058902510666296775,0.061515012315420795
40_100,169,1,kcat1,0.021761670037867057,0.2690692538570791
40_100,169,1,kcat2,0.18827735462409353,0.3763724404767178
40_100,169,1,Km1,0.0020276152640229628,0.10966841338558904
40_100,169,1,Km2,0.13076712182470365,0.4065829648788605
40_100,169,1,Tmax,0.245510877285183,0.5027472935882396
40_100,169,1,Ken,0.023803587291622817,0.16171893263039944
40_100,169,1,kAB,0.02842896688126237,0.10789197873962855
40_100,169,1,kAN,-0.0024134463897087922,0.029600664729941238
40_100,169,1,kAOH,-0.01593396183124713,0.6750998848443878
40_100,169,1,kNH,0.029852875119813077,0.06751974829199017
40_100,169,2,kcat1,0.017506625560766317,0.21979581350102573
40_100,169,2,kcat2,0.16562899101279732,0.3707307743216593
40_100,169,2,Km1,-0.0007509285373371065,0.1692161579137152
40_100,169,2,Km2,0.11919322968951436,0.44568922024866164
40_100,169,2,Tmax,0.22602335709348245,0.5207826789738427
40_100,169,2,Ken,0.02219666786329017,0.15064590773344147
40_100,169,2,kAB,0.02383438872502907,0.1014499494005881
40_100,169,2,kAN,-0.004904053922486592,0.09536895592802265
40_100,169,2,kAOH,-0.01756756235098706,0.6535632984057936
40_100,169,2,kNH,0.027806674166125193,0.06289661702521233
40_100,169,3,kcat1,0.45660579870735585,0.6264624794880808
40_100,169,3,kcat2,0.05501995464521189,0.22911632539845
40_100,169,3,Km1,0.08833820569447315,0.22004360588269373
40_100,169,3,Km2,0.04109205657046472,0.1539042457691497
40_100,169,3,Tmax,0.07938632439110947,0.20348520582099755
40_100,169,3,Ken,0.011265673819457409,0.09193748193229434
40_100,169,3,kAB,0.028481419689734208,0.1604274694099511
40_100,169,3,kAN,0.028553292436326875,0.09010437062089496
40_100,169,3,kAOH,0.09283600654581957,0.3841275584428331
40_100,169,3,kNH,0.01209770487462464,0.07142715000308385
40_100,170,0,kcat1,0.5691903938294836,0.8159297553358436
40_100,170,0,kcat2,0.008503669785565047,0.15341383180591062
40_100,170,0,Km1,0.0950813049494786,0.29646274163121067
40_100,170,0,Km2,0.005154049194993929,0.06707830784525731
40_100,170,0,Tmax,0.017047455729154,0.17792752976758017
40_100,170,0,Ken,0.006599939633248257,0.06243203734377113
40_100,170,0,kAB,0.025538730531821735,0.1712916838902233
40_100,170,0,kAN,0.03331285513987392,0.10238892066124262
40_100,170,0,kAOH,0.08454176542182214,0.25012553507259144
