output,time,parameter,S1,ST
CAB,11,KS,0.5773918605808518,0.6988126057525492
CAB,11,KP,0.04118822676597655,0.1340540069270107
CAB,11,KN,0.0015305101361926456,0.018964322957479473
CAB,11,kmenos4,0.010242382497490472,0.03317923413250823
CAB,12,k2,0.1780315960913006,0.2765328000167613
CAB,12,k3,0.002682044564784169,0.029995343366408914
CAB,12,k4,0.002657603465200846,0.029090738558365855
CAB,12,k5,-0.0008466626366571273,0.0010553570701251824
CAB,12,KS,0.5521633088115379,0.6799229303508163
CAB,12,KP,0.047691191977733936,0.15269173087738344
CAB,12,KN,0.001772118753417634,0.022450853240033142
CAB,12,kmenos4,0.0118751844706499,0.039405002190419446
CAB,13,k2,0.1787427207554063,0.2785142979242948
CAB,13,k3,0.0031095584515474146,0.03630321989191868
CAB,13,k4,0.0032748760861853222,0.03454011494421116
CAB,13,k5,-0.0009080209098536684,0.0011879020594282629
CAB,13,KS,0.5271199212984512,0.6620150678427124
CAB,13,KP,0.054025794549218555,0.1714682503779876
CAB,13,KN,0.0020133668715503444,0.026252144933419774
CAB,13,kmenos4,0.013533341457997382,0.04642574619386325
CAB,14,k2,0.17843044959801327,0.279526752442873
CAB,14,k3,0.0035227696068062995,0.04298775659055092
CAB,14,k4,0.0038930162948111226,0.04014447027111465
CAB,14,k5,-0.0009562332148851222,0.0013241049476134465
CAB,14,KS,0.5023974522949558,0.6450933431741945
CAB,14,KP,0.060082697714948924,0.18987375043062346
CAB,14,KN,0.002246468751077096,0.03035537226995405
CAB,14,kmenos4,0.015178612256066107,0.05429502383434681
CAB,15,k2,0.17717874610172069,0.2795208459413396
CAB,15,k3,0.0038976473574582273,0.04963838945477186
CAB,15,k4,0.004481799684172255,0.045549886272186764
CAB,15,k5,-0.0009975403172440484,0.0014692212435114926
CAB,15,KS,0.47820442999557894,0.6291740234330249
CAB,15,KP,0.06574506699586254,0.2073794809706092
CAB,15,KN,0.0024715692404243834,0.03472943089627669
CAB,15,kmenos4,0.01676998256770967,0.06308222222598757
CAB,16,k2,0.17510548695904804,0.2784867694127289
CAB,16,k3,0.004228464454217259,0.05580284294222022
CAB,16,k4,0.0050327339010945195,0.05040450102237352
CAB,16,k5,-0.0010289093965345519,0.001623064017974651
CAB,16,KS,0.4547460724759338,0.6141824582638681
CAB,16,KP,0.07091969114420534,0.22356219397964625
CAB,16,KN,0.002696704215523714,0.039283904698911104
CAB,16,kmenos4,0.018285787403462702,0.07278663736931935
CAB,17,k2,0.17233444242604404,0.27651211912453744
CAB,17,k3,0.004504049418551544,0.061038695801583075
CAB,17,k4,0.0055315863399592186,0.054419573849136586
CAB,17,k5,-0.0010523419480900815,0.0017821678484583577
CAB,17,KS,0.4321859895595212,0.6000754631781854
CAB,17,KP,0.07552886827842728,0.23824704131512964
CAB,17,KN,0.0029293512651871177,0.043976300363157694
CAB,17,kmenos4,0.019701685866032003,0.08329714659072089
CAB,18,k2,0.16902289952665658,0.2738467421536995
CAB,18,k3,0.004721311925725889,0.0651643641644704
CAB,18,k4,0.00597691885116003,0.057429564814790314
CAB,18,k5,-0.001066755653906832,0.0019402165612392892
CAB,18,KS,0.41063092734955453,0.5868097592835357
CAB,18,KP,0.07952780914742283,0.2512976526549741
CAB,18,KN,0.003169799732918347,0.0486921720428588
CAB,18,kmenos4,0.020998245077813203,0.09443826121390157
CAB,19,k2,0.1653025802236098,0.2707874370826353
CAB,19,k3,0.004884161374435137,0.06810864410265763
CAB,19,k4,0.006368807032064681,0.05944473706959569
CAB,19,k5,-0.0010730920703978855,0.0020842122456694563
CAB,19,KS,0.390084143607253,0.5742821918878339
CAB,19,KP,0.0829041853834061,0.26271531577941837
CAB,19,KN,0.003425322159289484,0.053348452484420876
CAB,19,kmenos4,0.022160564901500274,0.10587840718765647
CAB,20,k2,0.16132762648902768,0.2676609760702446
CAB,20,k3,0.004999003253226504,0.06999500904410791
CAB,20,k4,0.006709019857739543,0.060550381990978536
CAB,20,k5,-0.0010719347177865813,0.002209512491463269
CAB,20,KS,0.37059195531213557,0.5624505770707231
CAB,20,KP,0.08567775856683009,0.27258902242754085
CAB,20,KN,0.003696713982144375,0.05783820272952178
CAB,20,kmenos4,0.0231831293303195,0.11714723142656451
CAB,21,k2,0.1572204632312396,0.26470017812405533
CAB,21,k3,0.005079535005708002,0.07094522305526534
CAB,21,k4,0.007008732936180297,0.06095621922467908
CAB,21,k5,-0.0010659011541154283,0.002294930525202036
CAB,21,KS,0.3521734071245685,0.5512288325322056
CAB,21,KP,0.08789970831447812,0.2810186825278048
CAB,21,KN,0.003985889334933181,0.062054897161333
CAB,21,kmenos4,0.02407381139454286,0.12791018351004657
CAB,22,k2,0.1531011775009493,0.2620681862693167
CAB,22,k3,0.005140299990163266,0.07116494002492467
CAB,22,k4,0.00728141786270048,0.060832253808749785
CAB,22,k5,-0.001057759090122393,0.0023421418581275025
CAB,22,KS,0.3348812442018989,0.5406296994675827
CAB,22,KP,0.08962892870574342,0.28821911631830244
CAB,22,KN,0.004298015098243367,0.06592624997175806
CAB,22,kmenos4,0.02484163250756638,0.13776170463382026
CAB,23,k2,0.14905667675860684,0.2598565839520412
CAB,23,k3,0.005194042263491024,0.07077871693197771
CAB,23,k4,0.007537330651583729,0.06030253103358952
CAB,23,k5,-0.0010461414066518246,0.002349980990315028
CAB,23,KS,0.3187502958810213,0.5306426740660691
CAB,23,KP,0.09093522684654466,0.2943787876499877
CAB,23,KN,0.004625877478004772,0.06943310673151594
CAB,23,kmenos4,0.02550447305034358,0.14630459457443687
CAB,24,k2,0.1451557470366892,0.25813486482922204
CAB,24,k3,0.00525751617202195,0.07001277763527707
CAB,24,k4,0.007787616214969814,0.059557347054083436
CAB,24,k5,-0.0010296974372906117,0.0023242541733888883
CAB,24,KS,0.30379647768742046,0.5212663339260285
CAB,24,KP,0.09191198568577318,0.2996521320641285
CAB,24,KN,0.004967166955242207,0.07251300798584713
CAB,24,kmenos4,0.026084272855252194,0.1534731126499096
CAB,25,k2,0.14143256650490035,0.256953798004049
CAB,25,k3,0.005334088117285161,0.06897385004819874
CAB,25,k4,0.00803365931829327,0.05864674511655274
CAB,25,k5,-0.0010117707778987328,0.002271162566744628
CAB,25,KS,0.2900016271397559,0.5125191656663594
CAB,25,KP,0.09262256945014087,0.30425288372687925
CAB,25,KN,0.00531613086549293,0.07519108357952684
CAB,25,kmenos4,0.0265863699293734,0.15914507759324165
CAB,26,k2,0.1379098189440184,0.25637714229655933
CAB,26,k3,0.005434035141366749,0.06781661942726104
CAB,26,k4,0.00828481200791594,0.057682138068217516
CAB,26,k5,-0.0009932921736869186,0.0022027794420501393
CAB,26,KS,0.2773147379035748,0.5043841136717541
CAB,26,KP,0.09311935027344771,0.3082641671462966
CAB,26,KN,0.005670148945168186,0.07744524458282838
CAB,26,kmenos4,0.027026901807905592,0.16340022519231748
CAB,27,k2,0.13459816426750812,0.25648677767062833
CAB,27,k3,0.005560888429459964,0.06659063767246165
CAB,27,k4,0.008543257857223938,0.05669715895575242
CAB,27,k5,-0.0009717577357524978,0.0021257356868382327
CAB,27,KS,0.2656625446451044,0.4968772709968296
CAB,27,KP,0.09345436335354441,0.3118064945733216
CAB,27,KN,0.006028471703446621,0.07934235455298173
CAB,27,kmenos4,0.02741967010828304,0.1662998349349808
CAB,28,k2,0.13149777352916023,0.25738304971617226
CAB,28,k3,0.005712900020818315,0.06541721220359872
CAB,28,k4,0.00880873179690949,0.055763991265325295
CAB,28,k5,-0.0009496931165050483,0.002051073082285139
CAB,28,KS,0.25498459161995773,0.4899491207274584
CAB,28,KP,0.09366853525134022,0.3149418589349777
CAB,28,KN,0.006385394744356727,0.08088600100023972
CAB,28,kmenos4,0.027771153106507292,0.1680729335899249
CAB,29,k2,0.12858373223779732,0.2591321529920795
CAB,29,k3,0.005889349151903547,0.06431645569368327
CAB,29,k4,0.009080505649928643,0.05490287877793184
CAB,29,k5,-0.0009292011372523776,0.00198257470998977
CAB,29,KS,0.24520645500990193,0.48358579614465863
CAB,29,KP,0.093771079150185,0.31771761865004194
CAB,29,KN,0.006736109303867137,0.08214118987196253
CAB,29,kmenos4,0.028084726668749702,0.168845657367563
CAB,30,k2,0.12584585893595115,0.2618186370343657
CAB,30,k3,0.006088851531707631,0.06331434589582981
CAB,30,k4,0.009356686800875003,0.054120454997826174
CAB,30,k5,-0.0009115485738703375,0.00192731139326361
CAB,30,KS,0.23624300315826363,0.4777712767224333
CAB,30,KP,0.0937749870909424,0.3201984363175093
CAB,30,KN,0.007075959775476989,0.08319590106434313
CAB,30,kmenos4,0.028367443845344318,0.16879461234184623
CAB,31,k2,0.12327980654822546,0.26553061078892914
CAB,31,k3,0.006313505354426927,0.06244523494690218
CAB,31,k4,0.009642083926813866,0.053443385119366256
CAB,31,k5,-0.0008937147745759072,0.0018926680478777325
CAB,31,KS,0.2280114392063124,0.47245913466098804
CAB,31,KP,0.09371094841456616,0.32240725701406736
CAB,31,KN,0.0074084565547325384,0.0841070022187899
CAB,31,kmenos4,0.028625733682020243,0.16809635337686965
CAB,32,k2,0.12087228930252887,0.2703167058593396
CAB,32,k3,0.0065584911529099075,0.06169477073752342
CAB,32,k4,0.009933395661052174,0.0528722103350085
CAB,32,k5,-0.0008758203877116113,0.001884432716508755
CAB,32,KS,0.22043051150892345,0.46760619102894124
CAB,32,KP,0.0935888000671648,0.32437217808870544
CAB,32,KN,0.007732039995483775,0.08495937802540271
CAB,32,kmenos4,0.028857402181866897,0.16684452959391594
CAB,33,k2,0.11861544426455557,0.2762070268685331
CAB,33,k3,0.006821159551346476,0.06108806944715545
CAB,33,k4,0.010226668509708282,0.05240396310307973
CAB,33,k5,-0.0008594754985089756,0.0019060538459256037
CAB,33,KS,0.2134320153836172,0.46316261609028514
CAB,33,KP,0.09342311208881142,0.3261237961921881
CAB,33,KN,0.008045005175381854,0.08584275566107648
CAB,33,kmenos4,0.02906179877746022,0.16518680900783347
CAB,34,k2,0.116498317888866,0.2832534131430012
CAB,34,k3,0.0071009146282684996,0.06062696270450959
CAB,34,k4,0.01052077766864541,0.05203601468808661
CAB,34,k5,-0.0008431560294138154,0.001952161499450763
CAB,34,KS,0.20695949214382336,0.4591069363623137
CAB,34,KP,0.09322043876074886,0.32768093863294395
CAB,34,KN,0.008348305404307102,0.08682745182994002
CAB,34,kmenos4,0.029244655828926592,0.16323886412789151
CAB,35,k2,0.1145091375440665,0.2914759665124943
CAB,35,k3,0.007397274704879654,0.060324219293207026
CAB,35,k4,0.010817494374128456,0.05175183880778101
CAB,35,k5,-0.0008275381069539896,0.0020195936510126874
CAB,35,KS,0.20095991440087402,0.4553490742962825
CAB,35,KP,0.09298937551596909,0.32907975085905733
CAB,35,KN,0.00864456594683235,0.08798690706331613
CAB,35,kmenos4,0.029407636740090337,0.16111936701941107
CAB,36,k2,0.1126379663163889,0.30090829647939066
CAB,36,k3,0.007705092363635838,0.060169071352296606
CAB,36,k4,0.0111147865911738,0.051536291255630085
CAB,36,k5,-0.0008132292763984292,0.002104484740243867
CAB,36,KS,0.19538383704640602,0.45185701949460055
CAB,36,KP,0.09273710572103983,0.33035132151044433
CAB,36,KN,0.008930366656238883,0.08939732173621852
CAB,36,kmenos4,0.02955142547794946,0.1588973510393844
CAB,37,k2,0.11087706686847339,0.31154505007754524
CAB,37,k3,0.008021600121507115,0.06015864800186516
CAB,37,k4,0.011410084780691892,0.05137096960679132
CAB,37,k5,-0.000799866774932506,0.00220222540858842
CAB,37,KS,0.19019036974464754,0.44858424552180326
CAB,37,KP,0.09247264554399959,0.33154465239537617
CAB,37,KN,0.009207977217237923,0.09109953848786517
CAB,37,kmenos4,0.029676722020633418,0.15664046211816177
CAB,38,k2,0.10921750804303632,0.3233953184026133
CAB,38,k3,0.00835176375394511,0.06029887312384815
CAB,38,k4,0.011706109118337188,0.05125323601937134
CAB,38,k5,-0.0007863296698210794,0.002308624058902264
CAB,38,KS,0.18534842302997645,0.44550226019309314
CAB,38,KP,0.09220036622466338,0.33270317844496167
CAB,38,KN,0.009478147801457523,0.09314481925667277
CAB,38,kmenos4,0.02978674791350647,0.15440976333283787
CAB,39,k2,0.10765058932955862,0.3364775569474256
CAB,39,k3,0.0086929303365615,0.060587942060561256
CAB,39,k4,0.012002187724907881,0.05117676225097578
CAB,39,k5,-0.0007728595671170913,0.002418885293941625
CAB,39,KS,0.180821394109591,0.4425757960339281
CAB,39,KP,0.09192614214190946,0.333862808587246
CAB,39,KN,0.00974039737286178,0.09556661489085726
CAB,39,kmenos4,0.029882159230456368,0.15226251036114316
CAB,40,k2,0.10617094402348366,0.3508136883913499
CAB,40,k3,0.00904586428005124,0.06101688977622576
CAB,40,k4,0.012297864018864306,0.05113879296531063
CAB,40,k5,-0.0007583499275493278,0.002529019982588392
CAB,40,KS,0.1765770466885889,0.43979014327318394
CAB,40,KP,0.09165198229859182,0.33505908227512765
CAB,40,KN,0.009997256271341178,0.09838759855052842
CAB,40,kmenos4,0.0299645892139776,0.15022731356453214
CAB,41,k2,0.10476961143967145,0.366368495239713
CAB,41,k3,0.009408827647288216,0.06158510990789045
CAB,41,k4,0.012590890789525017,0.05112996343554452
CAB,41,k5,-0.0007436005675124439,0.0026346253799627082
CAB,41,KS,0.17259181836717266,0.4371540130160627
CAB,41,KP,0.09137695689717105,0.3363330145906884
CAB,41,KN,0.010247498806912418,0.10162807244263757
CAB,41,kmenos4,0.030034882406994822,0.14834800140158427
CAB,42,k2,0.10343904029979661,0.38312502528553966
CAB,42,k3,0.009779007494192566,0.062289059553432384
CAB,42,k4,0.01288148748777674,0.0511550449528528
CAB,42,k5,-0.0007295974222033346,0.002733023144301542
CAB,42,KS,0.16884058248209236,0.43465056213464354
CAB,42,KP,0.09110363945586493,0.3377139162111944
CAB,42,KN,0.010491958869532457,0.1053109999722902
CAB,42,kmenos4,0.030091043895578196,0.14662198045319477
CAB,43,k2,0.10217356524217307,0.4010354588779162
CAB,43,k3,0.010156795209489818,0.06313066335170246
CAB,43,k4,0.013168851436372524,0.051209868909834484
CAB,43,k5,-0.0007150994045898793,0.0028215397051481322
CAB,43,KS,0.16530011927186,0.4323222596248369
CAB,43,KP,0.090832593023154,0.33922625020934793
CAB,43,KN,0.010730410534697173,0.10944424904562537
CAB,43,kmenos4,0.03013606493324751,0.14509461202591487
CAB,44,k2,0.10096926121386,0.4200601824314821
CAB,44,k3,0.010542080015549125,0.06410593811430366
CAB,44,k4,0.01345255347453392,0.05129353204051392
CAB,44,k5,-0.0006991841058647309,0.0028987443131600218
CAB,44,KS,0.16195324257679788,0.4301482126872465
CAB,44,KP,0.09056380494826789,0.34090618600609107
CAB,44,KN,0.010962716164988647,0.11406152759651128
CAB,44,kmenos4,0.03016959705046757,0.14375117428939918
CAB,45,k2,0.09981940212911282,0.44007035477262857
CAB,45,k3,0.010933328646953996,0.06521288579147169
CAB,45,k4,0.013732464521373349,0.05140749660358789
CAB,45,k5,-0.0006829286370765032,0.002963485730391718
CAB,45,KS,0.15878076221063867,0.42816142892228776
CAB,45,KP,0.09029292927793049,0.3427629565821642
CAB,45,KN,0.01118860245303277,0.11916380586463278
CAB,45,kmenos4,0.03019380551930594,0.14261161681646312
CAB,46,k2,0.09872087328947898,0.4610072195793597
CAB,46,k3,0.01132913656171206,0.06645476538569613
CAB,46,k4,0.014008465583899227,0.05155578040255406
CAB,46,k5,-0.0006659362559451723,0.0030148896635427136
CAB,46,KS,0.15577033130518847,0.42638091404735096
CAB,46,KP,0.09002521703911742,0.3448245926526307
CAB,46,KN,0.011408725495728259,0.12475830335988654
CAB,46,kmenos4,0.030209067565859383,0.14167789254938037
CAB,47,k2,0.097667770274935,0.4827024325379485
CAB,47,k3,0.011728772612121163,0.06782795431764121
CAB,47,k4,0.014279381219827846,0.05173148035726186
CAB,47,k5,-0.0006487154206632673,0.003053066876715093
CAB,47,KS,0.1529054719292799,0.4248084512583649
CAB,47,KP,0.08975891527777934,0.34710118608653495
CAB,47,KN,0.011623492831957724,0.13087082045965898
CAB,47,kmenos4,0.030215405003631558,0.14095143908651228
CAB,48,k2,0.09665999669012072,0.5050026478334321
CAB,48,k3,0.012132169011570408,0.06933844372293611
CAB,48,k4,0.014545708401968718,0.051940081210561435
CAB,48,k5,-0.0006303110039252715,0.003078113067108454
CAB,48,KS,0.1501769079950428,0.42347614168127934
CAB,48,KP,0.0894905564830057,0.3496038219306375
CAB,48,KN,0.011833781726522621,0.13751084312830303
CAB,48,kmenos4,0.03021308429401326,0.14043955066117716
CAB,49,k2,0.09569333740965981,0.5277224245846298
CAB,49,k3,0.012539443159968139,0.07098338235523163
CAB,49,k4,0.014807158008742362,0.05218274552196182
CAB,49,k5,-0.0006122631027640908,0.003091011294281462
CAB,49,KS,0.14757202878199588,0.42238089503653536
CAB,49,KP,0.08921947512555618,0.3523424836087424
CAB,49,KN,0.012038652505375098,0.1446890703605941
CAB,49,kmenos4,0.03020289105758231,0.14013229138182678
CAB,50,k2,0.09476707766176078,0.5506394299282681
CAB,50,k3,0.012950967281340148,0.07276334194325897
CAB,50,k4,0.015063585350870401,0.05245298039241842
CAB,50,k5,-0.000592978122792029,0.0030926317463652723
CAB,50,KS,0.14508201718161887,0.42155066239675043
CAB,50,KP,0.0889506777359761,0.3553158645407917
CAB,50,KN,0.012238406315130623,0.15241081820101424
CAB,50,kmenos4,0.030185023693099836,0.1400426699618351
CAB,51,k2,0.09387721363576405,0.5735401143107622
CAB,51,k3,0.013365125226487515,0.07467918999709304
CAB,51,k4,0.015313864978436119,0.05275336167717251
CAB,51,k5,-0.0005734308626069408,0.003082851946304225
CAB,51,KS,0.14269885654566497,0.420991391560539
CAB,51,KP,0.08867742322405914,0.358534867660472
CAB,51,KN,0.012431424758941607,0.16070289953608913
CAB,51,kmenos4,0.030158743019451064,0.1401605258779097
CAB,52,k2,0.09302247784834002,0.5961607166181723
CAB,52,k3,0.01378080292989642,0.07673527418477301
CAB,52,k4,0.015557188844170566,0.05307935795788107
